,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_BARBARIAN_RAIDER,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_AMERICAN_ROUGH_RIDER,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_AZTEC_EAGLE_WARRIOR
UNIT_INFANTRY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 12.50, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 25.00, 20.00, 25.00, 16.67, 16.67, 20.00, 20.00, 16.67, 6.25, 25.00, 16.67, 100.00, 25.00, 12.50, 12.50, 12.50, 10.78, 12.50, 5.56, 100.00, 11.11, 3.85, 7.27, 9.16, 5.46, 10.78, 5.46, 3.33, 5.00, 100.00, 11.35, 3.18, 3.18, 4.71, 2.43, 1.59, 2.14, 2.14, 1.17, 1.86, 1.26, 1.49, 1.44, 100.00, 2.20, 1.26, 2.58, 100.00, 0.83, 1.00, 0.71, 0.61, 0.31, 0.43, 0.43, 1.48, 0.45, 0.16, 0.15, 0.22, 100.00, 0.59, 1.44, 0.45, 0.40, 0.17, 0.31, 0.33, 100.00, 0.09, 0.12, 0.27, 0.68, 0.21, 16.67
UNIT_ARTILLERY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 15.45, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 35.33, 21.00, 33.33, 20.00, 21.89, 25.00, 25.00, 21.89, 13.50, 27.00, 24.22, 100.00, 27.00, 15.21, 13.58, 12.50, 11.40, 17.15, 17.67, 100.00, 12.50, 10.09, 7.91, 9.64, 5.37, 11.40, 5.37, 8.14, 6.00, 100.00, 10.91, 3.85, 3.85, 4.70, 5.74, 2.44, 3.70, 3.70, 2.17, 1.84, 1.26, 1.65, 2.00, 100.00, 2.13, 1.26, 2.03, 100.00, 1.01, 1.41, 1.00, 0.58, 0.28, 0.41, 0.41, 1.41, 0.44, 0.17, 0.14, 0.23, 100.00, 0.80, 1.47, 0.44, 0.38, 0.16, 0.30, 0.31, 100.00, 0.10, 0.12, 0.23, 0.73, 0.20, 24.22
UNIT_BATTLESHIP, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 18.16, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 52.00, 35.33, 21.00, 35.33, 21.00, 23.86, 27.00, 27.00, 23.86, 13.50, 27.00, 24.22, 100.00, 27.00, 16.52, 14.75, 12.50, 13.27, 18.16, 17.67, 100.00, 13.50, 10.09, 9.22, 9.83, 6.26, 13.27, 6.26, 8.14, 6.00, 100.00, 12.70, 4.50, 4.50, 5.50, 7.48, 3.20, 4.85, 4.85, 2.86, 2.16, 1.46, 2.02, 2.30, 100.00, 2.47, 1.46, 3.47, 100.00, 2.20, 1.64, 1.73, 1.00, 0.45, 1.03, 1.03, 1.64, 0.52, 0.30, 0.25, 0.42, 100.00, 1.03, 2.30, 0.52, 0.45, 0.25, 0.63, 0.49, 100.00, 0.15, 0.21, 0.38, 0.86, 0.24, 24.22
UNIT_BRAZILIAN_MINAS_GERAES, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 27.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 68.67, 52.00, 34.33, 52.00, 34.33, 35.33, 42.00, 42.00, 35.33, 21.00, 42.00, 35.33, 100.00, 42.00, 27.00, 25.00, 20.00, 23.86, 27.00, 26.00, 100.00, 21.00, 13.50, 18.16, 16.24, 13.15, 23.86, 13.15, 12.11, 8.14, 100.00, 21.23, 9.22, 9.22, 11.64, 12.11, 5.88, 7.14, 7.14, 5.82, 4.64, 3.11, 3.97, 4.50, 100.00, 5.50, 3.11, 6.00, 100.00, 4.54, 3.21, 3.53, 2.20, 1.00, 2.04, 2.04, 3.21, 1.14, 0.68, 0.56, 0.76, 100.00, 2.04, 4.50, 1.14, 0.98, 0.56, 1.20, 1.07, 100.00, 0.31, 0.38, 0.81, 1.64, 0.52, 35.33
UNIT_SUBMARINE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 21.89, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 66.67, 42.00, 26.00, 40.00, 25.00, 25.00, 33.33, 33.33, 25.00, 17.67, 35.33, 30.57, 100.00, 35.33, 21.23, 19.30, 16.67, 18.16, 23.86, 21.00, 100.00, 16.67, 12.11, 13.27, 12.34, 9.60, 18.16, 9.60, 10.09, 6.88, 100.00, 16.52, 6.60, 6.60, 7.88, 11.00, 4.85, 5.88, 5.88, 4.00, 3.11, 2.16, 2.81, 3.21, 100.00, 3.60, 2.16, 3.88, 100.00, 1.75, 2.30, 2.47, 0.97, 0.49, 1.00, 1.00, 2.30, 0.78, 0.37, 0.30, 0.46, 100.00, 1.44, 2.47, 0.78, 0.66, 0.38, 0.52, 0.53, 100.00, 0.19, 0.21, 0.40, 1.20, 0.35, 30.57
UNIT_GERMAN_UBOAT, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 21.89, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 66.67, 42.00, 26.00, 40.00, 25.00, 25.00, 33.33, 33.33, 25.00, 17.67, 35.33, 30.57, 100.00, 35.33, 21.23, 19.30, 16.67, 18.16, 23.86, 21.00, 100.00, 16.67, 12.11, 13.27, 12.34, 9.60, 18.16, 9.60, 10.09, 6.88, 100.00, 16.52, 6.60, 6.60, 7.88, 11.00, 4.85, 5.88, 5.88, 4.00, 3.11, 2.16, 2.81, 3.21, 100.00, 3.60, 2.16, 3.88, 100.00, 1.75, 2.30, 2.47, 0.97, 0.49, 1.00, 1.00, 2.30, 0.78, 0.37, 0.30, 0.46, 100.00, 1.44, 2.47, 0.78, 0.66, 0.38, 0.52, 0.53, 100.00, 0.19, 0.21, 0.40, 1.20, 0.35, 30.57
UNIT_AT_CREW, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 12.50, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 20.00, 20.00, 28.57, 16.67, 16.67, 20.00, 20.00, 16.67, 6.25, 20.00, 20.00, 100.00, 20.00, 8.85, 15.38, 12.50, 7.09, 9.47, 5.56, 100.00, 11.11, 3.85, 4.79, 6.00, 7.77, 13.13, 7.77, 3.33, 5.00, 100.00, 9.30, 2.14, 2.14, 4.71, 2.43, 1.59, 2.14, 2.14, 1.17, 2.76, 1.87, 1.00, 1.00, 100.00, 2.20, 1.87, 2.58, 100.00, 0.83, 0.68, 0.71, 0.61, 0.31, 0.43, 0.43, 1.00, 0.68, 0.16, 0.15, 0.22, 100.00, 0.59, 1.44, 0.45, 0.59, 0.17, 0.21, 0.33, 100.00, 0.09, 0.12, 0.27, 0.45, 0.31, 13.33
UNIT_TANK, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 33.33, 25.00, 33.33, 25.00, 25.00, 33.33, 33.33, 25.00, 20.00, 25.00, 25.00, 100.00, 25.00, 20.00, 20.00, 20.00, 16.67, 20.00, 16.67, 100.00, 16.67, 12.50, 12.50, 15.38, 11.11, 16.67, 11.11, 10.00, 7.69, 100.00, 11.35, 7.27, 7.27, 10.78, 7.69, 5.26, 6.67, 6.67, 4.22, 4.07, 2.78, 3.22, 3.18, 100.00, 4.71, 2.78, 4.55, 100.00, 2.64, 2.20, 2.28, 1.94, 0.88, 1.29, 1.29, 1.48, 1.00, 0.38, 0.35, 0.52, 100.00, 1.29, 3.18, 1.00, 0.88, 0.45, 0.69, 0.92, 100.00, 0.21, 0.30, 0.79, 0.68, 0.45, 25.00
UNIT_FIGHTER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 42.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 102.00, 70.67, 52.00, 68.67, 51.00, 52.00, 68.67, 68.67, 52.00, 35.33, 70.67, 54.00, 100.00, 70.67, 44.00, 42.00, 34.33, 37.33, 44.00, 35.33, 100.00, 34.33, 22.00, 29.00, 29.00, 24.22, 37.33, 24.22, 18.67, 13.11, 100.00, 32.57, 17.75, 17.75, 23.50, 18.67, 10.09, 12.11, 12.11, 8.87, 8.13, 5.56, 6.96, 8.51, 100.00, 9.43, 5.56, 8.14, 100.00, 6.66, 6.16, 5.72, 3.30, 1.47, 2.70, 2.70, 6.16, 2.60, 1.00, 0.52, 0.90, 100.00, 3.24, 7.43, 2.60, 2.31, 1.13, 1.89, 2.45, 100.00, 0.46, 0.47, 1.66, 3.20, 1.31, 54.00
UNIT_AMERICAN_P51, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 42.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 102.00, 70.67, 52.00, 68.67, 51.00, 52.00, 68.67, 68.67, 52.00, 35.33, 70.67, 54.00, 100.00, 70.67, 44.00, 42.00, 34.33, 37.33, 44.00, 35.33, 100.00, 34.33, 22.00, 29.00, 29.00, 24.22, 37.33, 24.22, 18.67, 13.11, 100.00, 32.57, 19.63, 19.63, 23.86, 18.67, 10.09, 12.11, 12.11, 9.14, 9.00, 6.17, 7.98, 9.46, 100.00, 10.43, 6.17, 8.14, 100.00, 9.79, 6.86, 6.93, 4.00, 1.80, 3.30, 3.30, 6.86, 2.86, 1.91, 1.00, 1.24, 100.00, 3.96, 8.26, 2.86, 2.56, 1.36, 2.08, 3.01, 100.00, 0.83, 0.61, 2.04, 3.52, 1.47, 54.00
UNIT_BOMBER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 27.80, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 72.67, 50.00, 30.00, 46.00, 28.00, 31.00, 39.33, 39.33, 31.00, 21.67, 43.33, 38.57, 100.00, 43.33, 28.95, 25.09, 19.67, 25.36, 31.74, 25.00, 100.00, 19.67, 16.11, 18.94, 18.78, 13.34, 25.36, 13.34, 14.09, 10.88, 100.00, 23.60, 10.50, 10.50, 11.37, 14.55, 7.20, 8.88, 8.88, 6.66, 4.56, 3.38, 5.89, 5.92, 100.00, 5.16, 3.38, 6.30, 100.00, 4.00, 4.59, 4.29, 2.39, 1.31, 2.16, 2.16, 4.59, 1.94, 1.12, 0.81, 1.00, 100.00, 2.98, 4.50, 1.94, 1.70, 1.04, 1.49, 2.38, 100.00, 0.53, 0.33, 1.54, 2.74, 1.11, 38.57
UNIT_ANTIAIR_GUN, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_MACHINE_GUN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 21.89, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 66.67, 40.00, 25.00, 40.00, 25.00, 25.00, 33.33, 33.33, 25.00, 8.33, 33.33, 28.57, 100.00, 33.33, 19.30, 19.30, 16.67, 16.36, 21.89, 10.00, 100.00, 16.67, 5.56, 11.64, 10.73, 9.60, 16.36, 9.60, 4.55, 5.88, 100.00, 14.75, 5.50, 5.50, 7.88, 5.00, 2.46, 2.94, 2.94, 1.78, 3.11, 2.16, 1.95, 2.47, 100.00, 3.60, 2.16, 3.88, 100.00, 1.75, 1.69, 1.25, 0.97, 0.49, 0.69, 0.69, 1.69, 0.78, 0.31, 0.25, 0.34, 100.00, 1.00, 2.47, 0.78, 0.66, 0.30, 0.52, 0.53, 100.00, 0.19, 0.17, 0.40, 0.78, 0.35, 28.57
UNIT_AIRCRAFT_CARRIER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 10.78, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 20.00, 14.29, 20.00, 14.29, 12.50, 16.67, 16.67, 12.50, 10.00, 16.67, 14.29, 100.00, 16.67, 9.30, 9.30, 10.00, 7.27, 10.78, 9.09, 100.00, 9.09, 6.67, 4.71, 6.71, 3.87, 7.27, 3.87, 5.26, 4.00, 100.00, 6.42, 2.20, 2.20, 3.18, 3.09, 1.94, 2.86, 2.86, 1.29, 1.26, 0.88, 1.00, 1.00, 100.00, 1.44, 0.88, 1.69, 100.00, 0.59, 0.69, 0.68, 0.43, 0.22, 0.41, 0.41, 0.69, 0.31, 0.13, 0.12, 0.22, 100.00, 0.41, 1.00, 0.31, 0.26, 0.14, 0.21, 0.23, 100.00, 0.06, 0.11, 0.20, 0.31, 0.14, 14.29
UNIT_DESTROYER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 33.33, 25.00, 33.33, 25.00, 25.00, 33.33, 33.33, 25.00, 20.00, 33.33, 25.00, 100.00, 33.33, 20.00, 20.00, 20.00, 16.67, 20.00, 16.67, 100.00, 16.67, 12.50, 12.50, 15.38, 11.11, 16.67, 11.11, 10.00, 7.69, 100.00, 14.29, 7.27, 7.27, 10.78, 7.69, 5.26, 6.67, 6.67, 4.22, 4.07, 2.78, 3.22, 3.18, 100.00, 4.71, 2.78, 4.55, 100.00, 2.64, 2.20, 2.28, 1.94, 0.88, 1.29, 1.29, 2.20, 1.00, 0.38, 0.35, 0.52, 100.00, 1.29, 3.18, 1.00, 0.88, 0.45, 0.69, 0.92, 100.00, 0.21, 0.30, 0.79, 1.00, 0.45, 25.00
UNIT_HELICOPTER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 33.33, 33.33, 33.33, 25.00, 25.00, 33.33, 33.33, 25.00, 20.00, 25.00, 25.00, 100.00, 25.00, 20.00, 20.00, 20.00, 16.67, 20.00, 20.00, 100.00, 16.67, 12.50, 14.29, 16.67, 12.50, 16.67, 12.50, 10.00, 7.69, 100.00, 13.33, 8.60, 8.60, 11.11, 8.33, 5.88, 6.67, 6.67, 4.55, 4.71, 3.18, 3.79, 3.87, 100.00, 5.46, 3.18, 5.00, 100.00, 3.09, 2.53, 2.63, 2.22, 1.02, 1.53, 1.53, 1.70, 1.14, 0.43, 0.39, 0.59, 100.00, 1.53, 3.87, 1.14, 1.00, 0.52, 0.79, 1.07, 100.00, 0.24, 0.33, 0.91, 0.78, 0.54, 25.00
UNIT_NUCLEAR_SUBMARINE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 40.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 68.67, 51.00, 66.67, 50.00, 50.00, 66.67, 66.67, 50.00, 34.33, 68.67, 52.00, 100.00, 68.67, 42.00, 40.00, 33.33, 35.33, 42.00, 34.33, 100.00, 33.33, 21.00, 27.00, 27.00, 22.22, 35.33, 22.22, 17.67, 12.11, 100.00, 30.57, 17.86, 17.86, 21.89, 17.67, 9.09, 11.11, 11.11, 8.14, 9.00, 6.17, 6.65, 8.26, 100.00, 10.43, 6.17, 7.14, 100.00, 7.27, 5.88, 6.13, 4.00, 1.80, 2.64, 2.64, 5.88, 2.20, 0.88, 0.74, 0.96, 100.00, 3.30, 7.06, 2.20, 1.94, 1.00, 1.53, 1.93, 100.00, 0.56, 0.50, 1.50, 2.86, 1.02, 52.00
UNIT_MECHANIZED_INFANTRY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 50.00, 33.33, 50.00, 25.00, 33.33, 33.33, 33.33, 33.33, 20.00, 40.00, 33.33, 100.00, 40.00, 25.00, 25.00, 20.00, 20.00, 25.00, 20.00, 100.00, 20.00, 14.29, 16.67, 18.18, 14.29, 20.00, 14.29, 12.50, 9.09, 100.00, 22.22, 10.78, 10.78, 12.50, 9.09, 6.67, 7.69, 7.69, 5.26, 6.17, 4.07, 4.86, 4.71, 100.00, 7.27, 4.07, 5.88, 100.00, 2.22, 3.18, 3.33, 1.59, 0.83, 1.94, 1.94, 4.79, 1.44, 0.53, 0.48, 0.67, 100.00, 1.94, 4.71, 1.44, 1.26, 0.65, 1.00, 0.88, 100.00, 0.25, 0.32, 0.75, 2.14, 0.69, 33.33
UNIT_ROCKET_ARTILLERY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 27.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 68.67, 52.00, 34.33, 52.00, 34.33, 35.33, 42.00, 42.00, 35.33, 21.00, 42.00, 35.33, 100.00, 42.00, 27.00, 25.00, 20.00, 23.86, 27.00, 26.00, 100.00, 21.00, 13.50, 18.16, 16.24, 12.92, 23.86, 12.92, 12.11, 8.14, 100.00, 21.23, 8.81, 8.81, 11.14, 12.11, 5.88, 7.14, 7.14, 5.40, 4.41, 2.96, 3.74, 4.30, 100.00, 5.25, 2.96, 6.00, 100.00, 4.20, 3.08, 3.26, 2.03, 0.93, 1.89, 1.89, 3.08, 1.09, 0.41, 0.33, 0.42, 100.00, 1.89, 4.30, 1.09, 0.94, 0.52, 1.14, 1.00, 100.00, 0.25, 0.21, 0.54, 1.57, 0.50, 35.33
UNIT_MOBILE_SAM, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_JET_FIGHTER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 70.67, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 204.00, 104.00, 52.00, 104.00, 52.00, 70.67, 104.00, 104.00, 70.67, 52.00, 104.00, 70.67, 100.00, 104.00, 54.00, 52.00, 51.00, 54.00, 70.67, 52.00, 100.00, 52.00, 35.33, 44.00, 37.33, 35.33, 54.00, 35.33, 27.00, 18.67, 100.00, 54.00, 28.57, 28.57, 35.33, 27.00, 13.50, 17.67, 17.67, 13.11, 18.04, 12.60, 11.90, 16.19, 100.00, 21.44, 12.60, 13.11, 100.00, 11.60, 10.97, 9.60, 6.51, 3.24, 5.20, 5.20, 10.97, 4.80, 2.16, 1.20, 1.90, 100.00, 5.20, 16.19, 4.80, 4.16, 1.80, 3.96, 3.92, 100.00, 1.00, 0.90, 2.70, 5.60, 2.38, 70.67
UNIT_JET_BOMBER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 35.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 76.67, 64.00, 40.33, 60.00, 38.33, 43.33, 50.00, 50.00, 43.33, 27.00, 54.00, 47.33, 100.00, 54.00, 39.00, 33.00, 24.00, 35.68, 39.00, 32.00, 100.00, 25.00, 19.50, 28.96, 26.68, 19.99, 35.68, 19.99, 18.11, 14.14, 100.00, 32.81, 18.55, 18.55, 18.50, 18.11, 9.88, 11.14, 11.14, 12.00, 8.22, 6.03, 11.24, 10.67, 100.00, 9.44, 6.03, 10.00, 100.00, 8.05, 8.27, 8.40, 4.69, 2.64, 4.74, 4.74, 8.27, 3.39, 2.13, 1.65, 3.01, 100.00, 5.96, 8.73, 3.39, 3.04, 1.99, 3.08, 4.72, 100.00, 1.12, 1.00, 2.93, 5.01, 2.04, 47.33
UNIT_MISSILE_CRUISER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 27.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 68.67, 52.00, 34.33, 52.00, 34.33, 35.33, 42.00, 42.00, 35.33, 21.00, 42.00, 35.33, 100.00, 42.00, 27.00, 25.00, 20.00, 23.86, 27.00, 26.00, 100.00, 21.00, 13.50, 18.16, 16.24, 13.15, 23.86, 13.15, 12.11, 8.14, 100.00, 21.23, 10.39, 10.39, 11.86, 12.11, 5.88, 7.14, 7.14, 6.00, 5.23, 3.52, 4.61, 5.10, 100.00, 6.20, 3.52, 6.00, 100.00, 5.51, 3.64, 4.28, 2.67, 1.23, 2.49, 2.49, 3.64, 1.27, 0.60, 0.49, 0.65, 100.00, 2.49, 5.10, 1.27, 1.10, 0.67, 1.34, 1.86, 100.00, 0.37, 0.34, 1.00, 1.83, 0.59, 35.33
UNIT_MODERN_AT, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 28.57, 25.00, 40.00, 25.00, 25.00, 33.33, 33.33, 25.00, 10.00, 33.33, 28.57, 100.00, 33.33, 15.38, 22.22, 20.00, 13.13, 15.38, 8.33, 100.00, 16.67, 6.25, 9.47, 10.24, 13.33, 20.00, 13.33, 5.00, 7.69, 100.00, 14.29, 4.79, 4.79, 10.78, 3.85, 2.63, 3.33, 3.33, 2.14, 6.04, 4.13, 2.23, 2.14, 100.00, 4.71, 4.13, 4.55, 100.00, 1.59, 1.48, 1.37, 1.17, 0.61, 0.83, 0.83, 2.20, 1.48, 0.31, 0.28, 0.36, 100.00, 1.29, 3.18, 1.00, 1.28, 0.35, 0.47, 0.64, 100.00, 0.18, 0.20, 0.55, 1.00, 0.68, 20.00
UNIT_MODERN_ARMOR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 33.33, 50.00, 33.33, 33.33, 50.00, 50.00, 33.33, 25.00, 40.00, 33.33, 100.00, 40.00, 25.00, 25.00, 25.00, 25.00, 33.33, 25.00, 100.00, 25.00, 20.00, 20.00, 22.22, 16.67, 25.00, 16.67, 14.29, 11.11, 100.00, 18.18, 12.50, 12.50, 16.67, 11.11, 7.69, 10.00, 10.00, 6.67, 9.00, 6.17, 6.16, 7.27, 100.00, 10.78, 6.17, 7.14, 100.00, 5.71, 4.71, 5.11, 4.22, 1.94, 2.86, 2.86, 3.24, 2.20, 0.76, 0.68, 0.90, 100.00, 2.86, 7.27, 2.20, 1.86, 0.98, 1.44, 2.00, 100.00, 0.42, 0.49, 1.69, 1.48, 1.00, 33.33
